===== 地面终端经纬度分组记录 =====
总分组数: 4

--- 节点3 终端分组 ---
终端数量: 250
经纬度列表:
  终端1: 经度=121.473700, 纬度=31.230400
  终端49: 经度=13.556217, 纬度=-51.349985
  终端50: 经度=-68.632719, 纬度=4.299381
  终端51: 经度=67.640658, 纬度=-17.517150
  终端52: 经度=-124.385848, 纬度=-45.907519
  终端53: 经度=133.340456, 纬度=17.552257
  终端54: 经度=-105.385485, 纬度=57.515239
  终端55: 经度=42.973055, 纬度=-56.291757
  终端56: 经度=-80.716611, 纬度=-59.066548
  终端57: 经度=28.312812, 纬度=-56.152291
  终端58: 经度=-39.229773, 纬度=56.936921
  终端59: 经度=54.189691, 纬度=-49.691562
  终端60: 经度=-9.530271, 纬度=39.679785
  终端61: 经度=-38.039259, 纬度=-51.269861
  终端62: 经度=162.206000, 纬度=35.893698
  终端63: 经度=168.642457, 纬度=-56.454200
  终端64: 经度=46.040511, 纬度=46.795152
  终端65: 经度=-73.406525, 纬度=9.015556
  终端66: 经度=-82.671748, 纬度=-9.044187
  终端67: 经度=53.990954, 纬度=-50.852360
  终端68: 经度=-178.482652, 纬度=22.956446
  终端69: 经度=149.185095, 纬度=-4.803142
  终端70: 经度=83.102184, 纬度=27.825236
  终端71: 经度=146.426196, 纬度=-36.855339
  终端72: 经度=77.917911, 纬度=7.597746
  终端73: 经度=125.347222, 纬度=-28.500015
  终端74: 经度=-59.035380, 纬度=-50.446040
  终端75: 经度=81.173174, 纬度=-15.039545
  终端76: 经度=29.248944, 纬度=-6.078927
  终端77: 经度=-6.274829, 纬度=33.738661
  终端78: 经度=-37.178246, 纬度=32.237807
  终端79: 经度=152.581954, 纬度=-42.906154
  终端80: 经度=-121.232943, 纬度=-13.479441
  终端81: 经度=-134.771305, 纬度=1.035017
  终端82: 经度=-67.463447, 纬度=19.676371
  终端83: 经度=57.391780, 纬度=30.083276
  终端84: 经度=-110.918904, 纬度=-11.047068
  终端85: 经度=-162.692444, 纬度=-54.821716
  终端86: 经度=-53.421948, 纬度=-55.907987
  终端87: 经度=4.486258, 纬度=-39.788490
  终端88: 经度=78.839427, 纬度=13.995166
  终端89: 经度=-129.535819, 纬度=37.026626
  终端90: 经度=-96.681964, 纬度=32.171305
  终端91: 经度=79.812410, 纬度=6.682219
  终端92: 经度=-74.896390, 纬度=-8.307364
  终端93: 经度=139.536921, 纬度=5.162555
  终端94: 经度=49.401738, 纬度=46.023153
  终端95: 经度=61.234943, 纬度=-9.924110
  终端96: 经度=-80.982617, 纬度=-44.578061
  终端97: 经度=115.300170, 纬度=41.374105
  终端98: 经度=28.631787, 纬度=12.507860
  终端99: 经度=60.151690, 纬度=24.570836
  终端100: 经度=-172.502370, 纬度=7.550826
  终端101: 经度=-10.444662, 纬度=-27.784530
  终端102: 经度=-90.920876, 纬度=-45.467474
  终端103: 经度=-16.703556, 纬度=24.749882
  终端104: 经度=-174.790241, 纬度=53.115871
  终端105: 经度=-114.318535, 纬度=-28.337799
  终端106: 经度=-157.139172, 纬度=28.218812
  终端107: 经度=-147.981094, 纬度=41.547410
  终端108: 经度=108.549242, 纬度=34.240981
  终端109: 经度=156.952564, 纬度=-49.557513
  终端110: 经度=42.807151, 纬度=-29.930135
  终端111: 经度=-132.063778, 纬度=-24.070681
  终端112: 经度=-4.470336, 纬度=15.621340
  终端113: 经度=4.601507, 纬度=59.822763
  终端114: 经度=-129.698020, 纬度=-4.228415
  终端115: 经度=98.779368, 纬度=-20.800434
  终端116: 经度=-157.253636, 纬度=-3.950829
  终端117: 经度=51.466684, 纬度=-41.125922
  终端118: 经度=172.542019, 纬度=43.937337
  终端119: 经度=-8.617902, 纬度=-40.685319
  终端120: 经度=-153.235711, 纬度=-53.010253
  终端121: 经度=-173.638194, 纬度=47.109404
  终端122: 经度=108.832748, 纬度=11.379568
  终端123: 经度=116.068018, 纬度=35.049282
  终端124: 经度=-155.885348, 纬度=-27.048938
  终端125: 经度=166.304976, 纬度=17.087765
  终端126: 经度=135.772283, 纬度=-3.955771
  终端127: 经度=46.963503, 纬度=-0.007369
  终端128: 经度=-92.858873, 纬度=-27.717273
  终端129: 经度=-27.360146, 纬度=-13.658134
  终端130: 经度=41.503697, 纬度=-14.822807
  终端131: 经度=-158.284779, 纬度=-24.619206
  终端132: 经度=-69.353593, 纬度=-40.913864
  终端133: 经度=-50.383136, 纬度=37.128062
  终端134: 经度=28.095772, 纬度=16.747842
  终端135: 经度=-67.875380, 纬度=-11.576518
  终端136: 经度=-176.299661, 纬度=31.218782
  终端137: 经度=-57.860124, 纬度=6.626426
  终端138: 经度=136.310937, 纬度=-10.548719
  终端139: 经度=-71.720237, 纬度=4.743415
  终端140: 经度=-84.112479, 纬度=23.509713
  终端141: 经度=-12.802356, 纬度=-51.521920
  终端142: 经度=-99.163460, 纬度=-28.580918
  终端143: 经度=9.156878, 纬度=10.983842
  终端144: 经度=53.425594, 纬度=48.767720
  终端145: 经度=-10.691312, 纬度=7.643578
  终端146: 经度=-135.082939, 纬度=-38.078358
  终端147: 经度=-152.949411, 纬度=-40.182074
  终端148: 经度=90.325832, 纬度=41.990792
  终端149: 经度=-26.164171, 纬度=-59.209927
  终端150: 经度=164.939100, 纬度=11.823499
  终端151: 经度=4.863550, 纬度=2.741502
  终端152: 经度=-5.849593, 纬度=-38.693880
  终端153: 经度=-48.886664, 纬度=35.196731
  终端154: 经度=106.963195, 纬度=41.022535
  终端155: 经度=81.573466, 纬度=35.127358
  终端156: 经度=6.110629, 纬度=-57.061432
  终端157: 经度=175.658827, 纬度=-1.551142
  终端158: 经度=176.516350, 纬度=-49.777787
  终端159: 经度=111.617637, 纬度=-4.171073
  终端160: 经度=-168.788493, 纬度=23.953281
  终端161: 经度=-109.929052, 纬度=-2.499169
  终端162: 经度=22.439209, 纬度=-26.820386
  终端163: 经度=138.559577, 纬度=-21.565958
  终端164: 经度=54.777029, 纬度=43.064848
  终端165: 经度=-164.847300, 纬度=-17.516928
  终端166: 经度=159.399876, 纬度=-31.616451
  终端167: 经度=-55.271537, 纬度=-49.072703
  终端168: 经度=116.603942, 纬度=-46.290615
  终端169: 经度=177.869035, 纬度=-15.199935
  终端170: 经度=159.050188, 纬度=16.275309
  终端171: 经度=-48.897341, 纬度=23.685510
  终端172: 经度=-136.029083, 纬度=45.698440
  终端173: 经度=145.788690, 纬度=11.467151
  终端174: 经度=-5.481129, 纬度=-23.525641
  终端175: 经度=-113.506355, 纬度=35.000625
  终端176: 经度=-22.188402, 纬度=-32.509126
  终端177: 经度=-24.255179, 纬度=45.903991
  终端178: 经度=-135.773644, 纬度=40.964084
  终端179: 经度=-157.992416, 纬度=-37.097916
  终端180: 经度=16.953865, 纬度=-32.443624
  终端181: 经度=14.337843, 纬度=49.142590
  终端182: 经度=155.178411, 纬度=58.668195
  终端183: 经度=145.617041, 纬度=45.249165
  终端184: 经度=56.360265, 纬度=20.317129
  终端185: 经度=107.098183, 纬度=-52.231440
  终端186: 经度=-29.159808, 纬度=-25.202005
  终端187: 经度=94.603644, 纬度=-45.207078
  终端188: 经度=11.644464, 纬度=-0.677055
  终端189: 经度=-139.521088, 纬度=51.222877
  终端190: 经度=-4.527283, 纬度=-27.948244
  终端191: 经度=-150.182487, 纬度=-22.523562
  终端192: 经度=-67.003931, 纬度=38.419858
  终端193: 经度=125.780316, 纬度=12.049851
  终端194: 经度=-10.102177, 纬度=0.858959
  终端195: 经度=63.231055, 纬度=-50.645821
  终端196: 经度=6.424960, 纬度=43.761658
  终端197: 经度=-63.251280, 纬度=24.167974
  终端198: 经度=114.986515, 纬度=-50.028167
  终端199: 经度=90.425140, 纬度=-49.574750
  终端200: 经度=-105.532632, 纬度=12.436988
  终端201: 经度=93.185281, 纬度=-45.782322
  终端202: 经度=-159.924063, 纬度=-51.927695
  终端203: 经度=41.097422, 纬度=-47.351417
  终端204: 经度=168.166208, 纬度=16.306101
  终端205: 经度=-162.111006, 纬度=40.057933
  终端206: 经度=-4.698485, 纬度=-57.663702
  终端207: 经度=50.949940, 纬度=-22.046713
  终端208: 经度=-79.776481, 纬度=-13.809868
  终端209: 经度=161.119214, 纬度=-24.708569
  终端210: 经度=72.239480, 纬度=-20.933392
  终端211: 经度=103.332473, 纬度=51.915391
  终端212: 经度=-100.792659, 纬度=57.414421
  终端213: 经度=49.624063, 纬度=24.168056
  终端214: 经度=36.722297, 纬度=-34.759563
  终端215: 经度=4.040734, 纬度=-43.847770
  终端216: 经度=-38.824387, 纬度=-16.993752
  终端217: 经度=-80.146850, 纬度=3.595298
  终端218: 经度=96.314791, 纬度=-2.679141
  终端219: 经度=91.989876, 纬度=34.363601
  终端220: 经度=75.542939, 纬度=29.577643
  终端221: 经度=15.146172, 纬度=-8.189318
  终端222: 经度=-13.117543, 纬度=-36.040016
  终端223: 经度=-110.833943, 纬度=-19.235027
  终端224: 经度=92.580289, 纬度=8.030775
  终端225: 经度=75.303390, 纬度=13.143866
  终端226: 经度=-84.210712, 纬度=-45.840930
  终端227: 经度=163.209702, 纬度=-20.685073
  终端228: 经度=123.260250, 纬度=41.813907
  终端229: 经度=59.813037, 纬度=-48.261260
  终端230: 经度=-39.922886, 纬度=41.989494
  终端231: 经度=155.546479, 纬度=47.159433
  终端232: 经度=-159.080908, 纬度=13.380402
  终端233: 经度=-82.442702, 纬度=3.799630
  终端234: 经度=19.628000, 纬度=-55.244688
  终端235: 经度=-174.758752, 纬度=39.968792
  终端236: 经度=-130.189350, 纬度=-12.666589
  终端237: 经度=61.893959, 纬度=-21.467445
  终端238: 经度=-141.069328, 纬度=-42.569576
  终端239: 经度=118.493382, 纬度=5.257364
  终端240: 经度=-32.988228, 纬度=-47.037545
  终端241: 经度=-88.013380, 纬度=29.867707
  终端242: 经度=147.636668, 纬度=-11.711962
  终端243: 经度=-29.342272, 纬度=54.836594
  终端244: 经度=125.960263, 纬度=48.222136
  终端245: 经度=161.713486, 纬度=-16.241847
  终端246: 经度=174.548071, 纬度=23.985364
  终端247: 经度=-95.989213, 纬度=-45.073183
  终端248: 经度=133.305336, 纬度=21.391434
  终端249: 经度=-179.206511, 纬度=14.406521
  终端250: 经度=83.421972, 纬度=50.721810
  经纬度范围: 经度[-179.206511, 177.917836], 纬度[-59.924365, 59.822763]

--- 节点6 终端分组 ---
终端数量: 250
经纬度列表:
  终端1: 经度=-78.539351, 纬度=-40.590031
  终端2: 经度=43.248436, 纬度=-55.331605
  终端3: 经度=-73.100691, 纬度=-37.989335
  终端4: 经度=77.575971, 纬度=-16.694801
  终端5: 经度=22.929616, 纬度=7.786663
  终端6: 经度=-0.881108, 纬度=-30.525845
  终端7: 经度=-8.696101, 纬度=-14.686809
  终端8: 经度=139.381052, 纬度=5.434429
  终端9: 经度=-157.449797, 纬度=15.882024
  终端10: 经度=-62.114498, 纬度=-43.433562
  终端11: 经度=56.072683, 纬度=13.988455
  终端12: 经度=-154.318245, 纬度=2.019197
  终端13: 经度=99.208945, 纬度=25.346148
  终端14: 经度=134.357898, 纬度=2.284803
  终端15: 经度=15.076696, 纬度=14.059590
  终端16: 经度=-136.825660, 纬度=46.280210
  终端17: 经度=-157.001904, 纬度=36.105247
  终端18: 经度=85.681041, 纬度=-4.574538
  终端19: 经度=-155.747478, 纬度=-34.700364
  终端20: 经度=-160.443833, 纬度=53.768549
  终端21: 经度=-34.798616, 纬度=24.383493
  终端22: 经度=-61.038086, 纬度=26.163461
  终端23: 经度=-2.550663, 纬度=-26.353038
  终端24: 经度=64.797316, 纬度=-30.759974
  终端25: 经度=141.364414, 纬度=31.674211
  终端26: 经度=-13.706796, 纬度=-50.658069
  终端27: 经度=175.390651, 纬度=-52.560918
  终端28: 经度=-37.408102, 纬度=9.597735
  终端29: 经度=12.608373, 纬度=-58.596745
  终端30: 经度=-141.111148, 纬度=57.071109
  终端31: 经度=129.921394, 纬度=-48.404409
  终端32: 经度=-142.935096, 纬度=18.141150
  终端33: 经度=173.381395, 纬度=-48.206842
  终端34: 经度=157.514618, 纬度=37.808393
  终端35: 经度=138.177126, 纬度=20.269098
  终端36: 经度=128.756107, 纬度=35.543261
  终端37: 经度=-88.414518, 纬度=-23.405800
  终端38: 经度=73.356277, 纬度=9.629334
  终端39: 经度=-173.873527, 纬度=3.417983
  终端40: 经度=71.705232, 纬度=-2.197899
  终端41: 经度=97.388990, 纬度=-16.805287
  终端42: 经度=-97.050425, 纬度=-55.096119
  终端43: 经度=171.832634, 纬度=54.589881
  终端44: 经度=178.453409, 纬度=-19.980724
  终端45: 经度=-101.984115, 纬度=55.918792
  终端46: 经度=-80.713771, 纬度=-0.565698
  终端47: 经度=115.570998, 纬度=16.451477
  终端48: 经度=8.150110, 纬度=18.098656
  终端49: 经度=-39.981902, 纬度=4.368866
  终端50: 经度=79.825547, 纬度=-4.388790
  终端51: 经度=60.955772, 纬度=24.911990
  终端52: 经度=158.084942, 纬度=15.269958
  终端53: 经度=86.017303, 纬度=59.334234
  终端54: 经度=-171.411584, 纬度=-54.406663
  终端55: 经度=-69.054706, 纬度=-0.664653
  终端56: 经度=173.119883, 纬度=-54.946114
  终端57: 经度=-51.611068, 纬度=6.289317
  终端58: 经度=-159.217665, 纬度=14.464046
  终端59: 经度=51.468693, 纬度=-52.006079
  终端60: 经度=-141.473694, 纬度=-56.561870
  终端61: 经度=114.301308, 纬度=38.419271
  终端62: 经度=159.126239, 纬度=-10.593751
  终端63: 经度=0.578329, 纬度=-29.951533
  终端64: 经度=-68.421355, 纬度=17.082311
  终端65: 经度=96.753394, 纬度=20.458196
  终端66: 经度=156.969403, 纬度=-14.856770
  终端67: 经度=179.202119, 纬度=-32.265309
  终端68: 经度=-54.627765, 纬度=-57.039688
  终端69: 经度=-95.500559, 纬度=56.588046
  终端70: 经度=-17.123610, 纬度=-27.453313
  终端71: 经度=-171.178350, 纬度=-26.344505
  终端72: 经度=-54.183346, 纬度=-47.365146
  终端73: 经度=135.862490, 纬度=-37.036982
  终端74: 经度=80.222699, 纬度=35.230270
  终端75: 经度=-10.995878, 纬度=50.677904
  终端76: 经度=166.314607, 纬度=-59.747114
  终端77: 经度=164.140555, 纬度=-22.569128
  终端78: 经度=-71.247895, 纬度=41.020910
  终端79: 经度=147.183690, 纬度=-15.464828
  终端80: 经度=64.794943, 纬度=36.451332
  终端81: 经度=20.366230, 纬度=20.558212
  终端82: 经度=29.584767, 纬度=-14.316579
  终端83: 经度=84.552482, 纬度=48.677889
  终端84: 经度=-34.659182, 纬度=-15.583672
  终端85: 经度=-92.690338, 纬度=53.295967
  终端86: 经度=-60.677637, 纬度=-2.992720
  终端87: 经度=-10.479575, 纬度=18.093204
  终端88: 经度=57.036243, 纬度=-39.102246
  终端89: 经度=-60.271151, 纬度=-48.355450
  终端90: 经度=-77.906688, 纬度=48.276782
  终端91: 经度=-50.397561, 纬度=0.377737
  终端92: 经度=-69.070487, 纬度=45.646257
  终端93: 经度=141.137676, 纬度=-23.272927
  终端94: 经度=121.446075, 纬度=-40.968055
  终端95: 经度=161.397894, 纬度=-11.455967
  终端96: 经度=7.567356, 纬度=59.273717
  终端97: 经度=59.873347, 纬度=14.793530
  终端98: 经度=30.801997, 纬度=2.177779
  终端99: 经度=-159.714585, 纬度=18.923086
  终端100: 经度=103.682176, 纬度=36.264449
  终端101: 经度=114.643419, 纬度=2.714157
  终端102: 经度=36.459628, 纬度=45.246166
  终端103: 经度=-111.363100, 纬度=-48.112954
  终端104: 经度=56.546549, 纬度=47.358003
  终端105: 经度=-100.846419, 纬度=-37.536416
  终端106: 经度=67.896863, 纬度=-3.189915
  终端107: 经度=-42.173110, 纬度=-16.814401
  终端108: 经度=-9.393769, 纬度=58.258268
  终端109: 经度=-27.634826, 纬度=32.657079
  终端110: 经度=137.327472, 纬度=-36.205993
  终端111: 经度=-35.416133, 纬度=-40.726246
  终端112: 经度=-54.217426, 纬度=49.572670
  终端113: 经度=-76.543259, 纬度=50.545623
  终端114: 经度=-179.624795, 纬度=-7.545354
  终端115: 经度=-122.315215, 纬度=-53.005070
  终端116: 经度=57.955464, 纬度=3.050869
  终端117: 经度=-101.459532, 纬度=-47.491299
  终端118: 经度=94.908710, 纬度=40.859887
  终端119: 经度=-8.685720, 纬度=-23.871701
  终端120: 经度=96.212076, 纬度=39.648637
  终端121: 经度=-46.624407, 纬度=-0.456773
  终端122: 经度=148.119070, 纬度=24.922143
  终端123: 经度=114.072124, 纬度=41.783820
  终端124: 经度=-84.174954, 纬度=-27.417583
  终端125: 经度=-164.160845, 纬度=-42.290756
  终端126: 经度=57.361583, 纬度=41.276572
  终端127: 经度=5.494344, 纬度=4.271087
  终端128: 经度=-84.542544, 纬度=-6.472348
  终端129: 经度=162.656609, 纬度=-6.695874
  终端130: 经度=-166.511445, 纬度=-17.520123
  终端131: 经度=173.084483, 纬度=-5.073078
  终端132: 经度=65.873150, 纬度=-28.336647
  终端133: 经度=121.933136, 纬度=0.829828
  终端134: 经度=-82.391411, 纬度=58.975723
  终端135: 经度=97.319655, 纬度=56.643409
  终端136: 经度=-171.867792, 纬度=-55.237902
  终端137: 经度=69.688308, 纬度=-41.984712
  终端138: 经度=33.146864, 纬度=8.325471
  终端139: 经度=-159.520554, 纬度=-8.022167
  终端140: 经度=-45.622914, 纬度=57.898915
  终端141: 经度=-88.885732, 纬度=-36.284759
  终端142: 经度=109.739593, 纬度=-18.255860
  终端143: 经度=87.538240, 纬度=-49.471777
  终端144: 经度=0.196755, 纬度=56.442528
  终端145: 经度=-124.431307, 纬度=38.554814
  终端146: 经度=-132.449067, 纬度=-14.489089
  终端147: 经度=-79.082737, 纬度=-26.739723
  终端148: 经度=18.848022, 纬度=-36.533831
  终端149: 经度=-176.938072, 纬度=-24.520328
  终端150: 经度=-176.269679, 纬度=10.094269
  终端151: 经度=-29.714270, 纬度=-41.384116
  终端152: 经度=77.203079, 纬度=-1.741172
  终端153: 经度=20.194526, 纬度=5.619915
  终端154: 经度=-94.877503, 纬度=-45.682935
  终端155: 经度=1.744079, 纬度=0.761592
  终端156: 经度=120.098627, 纬度=46.691832
  终端157: 经度=66.035852, 纬度=12.018544
  终端158: 经度=-121.012713, 纬度=28.605298
  终端159: 经度=26.341414, 纬度=58.245550
  终端160: 经度=-83.937410, 纬度=45.154624
  终端161: 经度=-73.592864, 纬度=19.769203
  终端162: 经度=81.690540, 纬度=58.705660
  终端163: 经度=139.247563, 纬度=21.771789
  终端164: 经度=-7.842707, 纬度=57.514109
  终端165: 经度=-142.287512, 纬度=56.512175
  终端166: 经度=113.226811, 纬度=-25.082130
  终端167: 经度=-112.726696, 纬度=-51.243488
  终端168: 经度=74.550395, 纬度=31.214704
  终端169: 经度=-54.434275, 纬度=-54.537456
  终端170: 经度=11.197229, 纬度=0.128570
  终端171: 经度=167.235858, 纬度=25.513205
  终端172: 经度=-119.534654, 纬度=11.005170
  终端173: 经度=11.117445, 纬度=-5.442195
  终端174: 经度=107.150155, 纬度=0.194780
  终端175: 经度=-105.762169, 纬度=-28.334708
  终端176: 经度=-46.377573, 纬度=-35.929422
  终端177: 经度=-27.840415, 纬度=39.788030
  终端178: 经度=-152.526133, 纬度=-5.620967
  终端179: 经度=-168.407927, 纬度=42.483578
  终端180: 经度=19.507176, 纬度=-33.443175
  终端181: 经度=-39.592640, 纬度=11.210336
  终端182: 经度=-127.972091, 纬度=24.710049
  终端183: 经度=-147.584134, 纬度=30.882692
  终端184: 经度=-145.932623, 纬度=-47.399143
  终端185: 经度=-74.030292, 纬度=-31.416584
  终端186: 经度=-119.780571, 纬度=-35.723334
  终端187: 经度=-0.735347, 纬度=12.295344
  终端188: 经度=-139.025251, 纬度=8.573387
  终端189: 经度=-156.921975, 纬度=-30.254837
  终端190: 经度=-174.584702, 纬度=35.410435
  终端191: 经度=11.244544, 纬度=46.490398
  终端192: 经度=35.338477, 纬度=45.182881
  终端193: 经度=112.701436, 纬度=-4.770248
  终端194: 经度=-143.665325, 纬度=-14.997029
  终端195: 经度=130.885253, 纬度=38.212310
  终端196: 经度=-24.658440, 纬度=-39.450159
  终端197: 经度=-141.809936, 纬度=52.788735
  终端198: 经度=-119.638686, 纬度=-22.328227
  终端199: 经度=92.921417, 纬度=7.697193
  终端200: 经度=98.564666, 纬度=-29.737684
  终端201: 经度=-57.510947, 纬度=-16.334136
  终端202: 经度=149.369042, 纬度=26.544862
  终端203: 经度=6.243645, 纬度=-32.328795
  终端204: 经度=96.185134, 纬度=16.964840
  终端205: 经度=-127.352450, 纬度=-22.115798
  终端206: 经度=36.722477, 纬度=20.663506
  终端207: 经度=92.253701, 纬度=-39.676960
  终端208: 经度=50.717801, 纬度=52.270455
  终端209: 经度=-164.375810, 纬度=5.375732
  终端210: 经度=-157.963494, 纬度=14.799099
  终端211: 经度=72.084167, 纬度=19.285580
  终端212: 经度=-135.927379, 纬度=47.387834
  终端213: 经度=74.669963, 纬度=-50.121770
  终端214: 经度=7.386098, 纬度=-21.988411
  终端215: 经度=-117.464499, 纬度=-37.240363
  终端216: 经度=-104.687496, 纬度=28.789854
  终端217: 经度=-131.445341, 纬度=39.065050
  终端218: 经度=-65.159115, 纬度=-52.739380
  终端219: 经度=152.738485, 纬度=54.286082
  终端220: 经度=80.310930, 纬度=27.438556
  终端221: 经度=-97.771414, 纬度=35.213804
  终端222: 经度=165.000212, 纬度=37.144562
  终端223: 经度=-8.700163, 纬度=40.527818
  终端224: 经度=65.327020, 纬度=48.302833
  终端225: 经度=-18.503805, 纬度=3.474461
  终端226: 经度=127.009567, 纬度=24.639294
  终端227: 经度=35.119384, 纬度=21.558444
  终端228: 经度=-48.270614, 纬度=-24.662667
  终端229: 经度=-143.323471, 纬度=-6.935603
  终端230: 经度=-140.094499, 纬度=25.209418
  终端231: 经度=75.153328, 纬度=-11.941640
  终端232: 经度=95.252318, 纬度=31.953303
  终端233: 经度=-64.497426, 纬度=0.704616
  终端234: 经度=37.279481, 纬度=-41.193225
  终端235: 经度=-17.915601, 纬度=-29.416654
  终端236: 经度=18.648541, 纬度=23.785921
  终端237: 经度=113.021919, 纬度=44.164134
  终端238: 经度=-133.142603, 纬度=-10.823335
  终端239: 经度=103.046211, 纬度=-43.589322
  终端240: 经度=134.193323, 纬度=29.476338
  终端241: 经度=-132.502380, 纬度=24.755273
  终端242: 经度=157.435935, 纬度=-57.595916
  终端243: 经度=-87.751409, 纬度=-13.157438
  终端244: 经度=92.444686, 纬度=32.787699
  终端245: 经度=2.109051, 纬度=12.080795
  终端246: 经度=-122.547564, 纬度=-25.013168
  终端247: 经度=-0.058256, 纬度=-9.464219
  终端248: 经度=48.884804, 纬度=19.982936
  终端249: 经度=75.060557, 纬度=15.033092
  终端250: 经度=173.358306, 纬度=55.214992
  经纬度范围: 经度[-179.624795, 179.202119], 纬度[-59.747114, 59.334234]

